Fav,Reg,Dog,FavID,FavID2,Fav_elo,DogID,DogID2,Dog_elo,Season,Week
1,17,8,446,Cuyahoga Heights,NA,1640,Waynedale,NA,2009,11
4,17,5,750,Independence,NA,702,Hawken,NA,2009,11
2,17,7,436,Crestview,NA,504,East Palestine,NA,2009,11
3,17,6,1580,Ursuline,NA,1542,Trinity,NA,2009,11
1,18,8,1234,Patrick Henry,NA,1172,Northwood,NA,2009,11
4,18,5,434,Crestview,NA,720,Hillsdale,NA,2009,11
2,18,7,1532,Tinora,NA,572,Fairview,NA,2009,11
3,18,6,874,Lima Central Catholic,NA,708,Hicksville,NA,2009,11
1,19,8,614,Fredericktown,NA,296,Caldwell,NA,2009,11
4,19,5,1063,Monroe Central,NA,1696,Wheelersburg,NA,2009,11
2,19,7,1186,Oak Hill,NA,458,Dawson-Bryant,NA,2009,11
3,19,6,1048,Minford,NA,1300,Ridgewood,NA,2009,11
1,20,8,1156,North Union,NA,1352,St Henry,NA,2009,11
4,20,5,1688,West Liberty-Salem,NA,1682,West Jefferson,NA,2009,11
2,20,7,394,Coldwater,NA,158,Badin,NA,2009,11
3,20,6,220,Bishop Ready,NA,120,Anna,NA,2009,11
1,21,8,992,McDonald,NA,732,Hopewell-Loudon,NA,2009,11
4,21,5,1742,Wynford,NA,450,Dalton,NA,2009,11
2,21,7,1374,St Paul,NA,1668,Western Reserve,NA,2009,11
3,21,6,1058,Mogadore,NA,786,John F Kennedy,NA,2009,11
1,22,8,1358,St John's,NA,136,Arlington,NA,2009,11
4,22,5,854,Leipsic,NA,1370,St Joseph Central Catholic,NA,2009,11
2,22,7,100,Ada,NA,424,Cory-Rawson,NA,2009,11
3,22,6,316,Carey,NA,412,Columbus Grove,NA,2009,11
1,23,8,934,Malvern,NA,1514,Symmes Valley,NA,2009,11
4,23,5,250,Bridgeport,NA,1556,Tuscarawas Central Catholic,NA,2009,11
2,23,7,408,Columbiana,NA,1406,Shadyside,NA,2009,11
3,23,6,222,Bishop Rosecrans,NA,681,Grove City Christian,NA,2009,11
1,24,8,122,Ansonia,NA,430,Covington,NA,2009,11
4,24,5,852,Lehman Catholic,NA,958,Marion Local,NA,2009,11
2,24,7,886,Lockland,NA,602,Fort Loramie,NA,2009,11
3,24,6,1642,Waynesfield-Goshen,NA,1452,Southeastern Local,NA,2009,11
1,1,8,1428,Solon,NA,248,Brecksville-Broadview Heights,NA,2010,11
4,1,5,148,Austintown-Fitch,NA,1440,South,NA,2010,11
2,1,7,652,Glenville,NA,692,Warren G Harding,NA,2010,11
3,1,6,1346,St Edward,NA,1016,Mentor,NA,2010,11
1,2,8,306,Canton McKinley,NA,1006,Medina,NA,2010,11
4,2,5,1360,St John's Jesuit,NA,616,Fremont Ross,NA,2010,11
2,2,7,1512,Sylvania Southview,NA,350,Twinsburg,NA,2010,11
3,2,6,1704,Whitmer,NA,1624,Massillon Washington,NA,2010,11
1,3,8,1254,Pickerington Central,NA,1552,Troy,NA,2010,11
4,3,5,1674,Westerville South,NA,474,Dublin Coffman,NA,2010,11
2,3,7,716,Hilliard Davidson,NA,1140,Northland,NA,2010,11
3,3,6,1480,Springfield,NA,717,Hilliard Darby,NA,2010,11
1,4,8,1026,Middletown,NA,1638,Wayne,NA,2010,11
4,4,5,1056,Archbishop Moeller,NA,336,Centerville,NA,2010,11
2,4,7,396,Colerain,NA,685,Hamilton,NA,2010,11
3,4,6,842,La Salle,NA,1388,St Xavier,NA,2010,11
1,5,8,1522,Tallmadge,NA,1326,Roosevelt,NA,2010,11
4,5,5,138,Ashland,NA,146,Aurora,NA,2010,11
2,5,7,824,Lake Catholic,NA,802,Kenston,NA,2010,11
3,5,6,422,Copley,NA,736,Howland,NA,2010,11
1,6,8,150,Avon,NA,1394,Sandusky,NA,2010,11
4,6,5,342,Central Catholic,NA,944,Maple Heights,NA,2010,11
2,6,7,152,Avon Lake,NA,976,Maumee,NA,2010,11
3,6,6,1204,Olmsted Falls,NA,784,John F Kennedy,NA,2010,11
1,7,8,962,Marion-Franklin,NA,1750,Zanesville,NA,2010,11
4,7,5,302,Canal Winchester,NA,214,Big Walnut,NA,2010,11
2,7,7,1086,New Albany,NA,1544,Tri-Valley,NA,2010,11
3,7,6,822,Lake,NA,1342,St Charles,NA,2010,11
1,8,8,1719,Winton Woods,NA,320,Carroll,NA,2010,11
4,8,5,1550,Trotwood-Madison,NA,696,Harrison,NA,2010,11
2,8,7,810,Kings,NA,1528,Tecumseh,NA,2010,11
3,8,6,1554,Turpin,NA,1074,Mount Healthy,NA,2010,11
1,9,8,1224,Padua Franciscan,NA,1571,University School,NA,2010,11
4,9,5,274,Buchtel,NA,1264,Poland Seminary,NA,2010,11
2,9,7,738,Hubbard,NA,1384,St Vincent-St Mary,NA,2010,11
3,9,6,584,Field,NA,310,Cardinal Mooney,NA,2010,11
1,10,8,224,Bishop Watterson,NA,1348,Columbus St Francis DeSales,NA,2010,11
4,10,5,1534,Tippecanoe,NA,526,Elida,NA,2010,11
2,10,7,392,Clyde,NA,1416,Shelby,NA,2010,11
3,10,6,406,Columbian,NA,502,Eastmoor Academy,NA,2010,11
1,11,8,964,Marlington,NA,1046,Minerva,NA,2010,11
4,11,5,500,East Liverpool,NA,870,Licking Valley,NA,2010,11
2,11,7,1488,Steubenville,NA,472,Dover,NA,2010,11
3,11,6,1420,Sheridan,NA,1392,Salem,NA,2010,11
1,12,8,1414,Shawnee,NA,1626,Washington,NA,2010,11
4,12,5,510,Eaton,NA,762,Jackson,NA,2010,11
2,12,7,998,Archbishop McNicholas,NA,476,Dunbar,NA,2010,11
3,12,6,1322,Roger Bacon,NA,1744,Wyoming,NA,2010,11
1,13,8,936,Manchester,NA,1246,Perry,NA,2010,11
4,13,5,968,Martins Ferry,NA,1010,Memorial,NA,2010,11
2,13,7,346,Chagrin Falls,NA,630,Garfield,NA,2010,11
3,13,6,1344,St Clairsville,NA,828,Lakeview,NA,2010,11
1,14,8,378,Clear Fork,NA,1206,Ontario,NA,2010,11
4,14,5,636,Genoa Area,NA,1214,Ottawa-Glandorf,NA,2010,11
2,14,7,534,Elyria Catholic,NA,746,Huron,NA,2010,11
3,14,6,1210,Orrville,NA,1548,Triway,NA,2010,11
1,15,8,760,Ironton,NA,426,Coshocton,NA,2010,11
4,15,5,712,Highland,NA,1270,Portsmouth West,NA,2010,11
2,15,7,706,Heath,NA,108,Alexander,NA,2010,11
3,15,6,218,Bishop Hartley,NA,114,Amanda-Clearcreek,NA,2010,11
1,16,8,388,Clinton-Massie,NA,1518,Taft,NA,2010,11
4,16,5,318,Carlisle,NA,804,Kenton,NA,2010,11
2,16,7,796,Jonathan Alder,NA,1644,Waynesville,NA,2010,11
3,16,6,1134,North College Hill,NA,132,Archbishop Alter,NA,2010,11
1,17,8,1580,Ursuline,NA,1460,South Range,NA,2010,11
4,17,5,436,Crestview,NA,1174,Norwayne,NA,2010,11
2,17,7,812,Kirtland,NA,750,Independence,NA,2010,11
3,17,6,446,Cuyahoga Heights,NA,1570,United,NA,2010,11
1,18,8,134,Archbold,NA,1172,Northwood,NA,2010,11
4,18,5,874,Lima Central Catholic,NA,1532,Tinora,NA,2010,11
2,18,7,1670,Western Reserve,NA,720,Hillsdale,NA,2010,11
3,18,6,1234,Patrick Henry,NA,404,Columbia,NA,2010,11
1,19,8,1186,Oak Hill,NA,458,Dawson-Bryant,NA,2010,11
4,19,5,1048,Minford,NA,1084,Nelsonville-York,NA,2010,11
2,19,7,614,Fredericktown,NA,1063,Monroe Central,NA,2010,11
3,19,6,1696,Wheelersburg,NA,1300,Ridgewood,NA,2010,11
1,20,8,1156,North Union,NA,158,Badin,NA,2010,11
4,20,5,120,Anna,NA,394,Coldwater,NA,2010,11
2,20,7,1682,West Jefferson,NA,1504,Summit Country Day,NA,2010,11
3,20,6,369,Cincinnati Hills Christian Academy,NA,490,East Clinton,NA,2010,11
1,21,8,1742,Wynford,NA,450,Dalton,NA,2010,11
4,21,5,1668,Western Reserve,NA,992,McDonald,NA,2010,11
2,21,7,1058,Mogadore,NA,278,Buckeye Central,NA,2010,11
3,21,6,848,Ledgemont,NA,1064,Monroeville,NA,2010,11
1,22,8,1358,St John's,NA,512,Edgerton,NA,2010,11
4,22,5,100,Ada,NA,854,Leipsic,NA,2010,11
2,22,7,990,McComb,NA,1370,St Joseph Central Catholic,NA,2010,11
3,22,6,1060,Mohawk,NA,343,Toledo Christian,NA,2010,11
1,23,8,1406,Shadyside,NA,1540,Trimble,NA,2010,11
4,23,5,1514,Symmes Valley,NA,934,Malvern,NA,2010,11
2,23,7,250,Bridgeport,NA,1456,Southern,NA,2010,11
3,23,6,1090,Newark Catholic,NA,553,Fairfield Christian Academy,NA,2010,11
1,24,8,324,Catholic Central,NA,1052,Minster,NA,2010,11
4,24,5,602,Fort Loramie,NA,958,Marion Local,NA,2010,11
2,24,7,852,Lehman Catholic,NA,886,Lockland,NA,2010,11
3,24,6,430,Covington,NA,122,Ansonia,NA,2010,11
1,1,8,1016,Mentor,NA,784,John F Kennedy,NA,2011,11
4,1,5,1440,South,NA,1428,Solon,NA,2011,11
2,1,7,1354,St Ignatius,NA,238,Boardman,NA,2011,11
3,1,6,385,Cleveland Heights,NA,1346,St Edward,NA,2011,11
1,2,8,1704,Whitmer,NA,124,Anthony Wayne,NA,2011,11
4,2,5,1512,Sylvania Southview,NA,306,Canton McKinley,NA,2011,11
2,2,7,650,GlenOak,NA,1606,Wadsworth,NA,2011,11
3,2,6,740,Hudson,NA,586,Findlay,NA,2011,11
1,3,8,716,Hilliard Davidson,NA,1211,Olentangy Orange,NA,2011,11
4,3,5,1572,Upper Arlington,NA,1552,Troy,NA,2011,11
