"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Opp_Div","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_lon","Tm_lat","Opp_lon","Opp_lat","trav_est"
"2013",3,"10045","10123","A","L*","forfeit",2013-09-14,0,0,1,7,-1,0,"36",NA,1,1,"0",1,"7",NA,NA,NA,NA,NA
"2013",4,"10045","10018","H","C*","cancelled",2013-09-20,0,NA,NA,7,NA,0,"37",NA,1,1,"0",1,"7",NA,NA,NA,NA,NA
"2013",5,"10045","10082","A","L","",2013-09-27,0,6,67,7,-61,0,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",7,"10045","10013","H","L","",2013-10-11,0,16,57,7,-41,0,"40",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",8,"10045","14664","A","L","",2013-10-18,0,0,52,7,-52,0,"41",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",9,"10045","1536","H","L","",2013-10-25,0,6,48,7,-42,0,"42",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",10,"10045","10118","H","L","",2013-11-02,0,0,46,7,-46,0,"43",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",11,"10045","10040","A","L*","",2013-11-09,0,0,46,7,-46,0,"44",NA,1,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",2,"10052","182","H","L","",2013-09-06,0,14,37,3,-23,0,"35",NA,0,0,"21",0,NA,NA,NA,NA,NA,NA
"2013",3,"10052","282","H","W","",2013-09-13,0,52,6,3,46,1,"36",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",4,"10052","10079","A","W","",2013-09-20,0,36,0,3,36,1,"37",NA,0,0,"0",1,"5",NA,NA,NA,NA,NA
"2013",5,"10052","500","A","W","",2013-09-27,0,28,6,3,22,1,"38",NA,0,0,"11",0,NA,NA,NA,NA,NA,NA
"2013",6,"10052","10074","A","L","",2013-10-04,0,7,34,3,-27,0,"39",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",7,"10052","10085","H","L","",2013-10-11,0,32,42,3,-10,0,"40",NA,0,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",8,"10052","10121","A","L","",2013-10-18,0,9,38,3,-29,0,"41",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",9,"10052","10071","A","L","",2013-10-25,0,7,21,3,-14,0,"42",NA,0,0,"",1,"3",NA,NA,NA,NA,NA
"2013",10,"10052","10007","H","W","",2013-11-01,0,28,27,3,1,1,"43",NA,0,0,"0",1,"3",NA,NA,NA,NA,NA
"2013",11,"10052","10130","H","L*","",2013-11-08,0,21,54,3,-33,0,"44",NA,1,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",1,"10059","172","N","W","",2013-08-29,0,63,8,6,55,1,"34",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",2,"10059","1556","A","W","",2013-09-07,0,33,6,6,27,1,"35",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",3,"10059","10129","H","W","",2013-09-14,0,42,7,6,35,1,"36",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",5,"10059","10013","H","W","",2013-09-27,0,48,6,6,42,1,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",6,"10059","250","A","W","",2013-10-04,0,55,0,6,55,1,"39",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",7,"10059","10003","H","W","",2013-10-11,0,48,20,6,28,1,"40",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",8,"10059","10078","H","W","",2013-10-19,0,75,16,6,59,1,"41",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",9,"10059","326","H","W","",2013-10-26,0,22,17,6,5,1,"42",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",10,"10059","1536","A","W","",2013-11-01,0,41,20,6,21,1,"43",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",11,"10059","10018","A","W*","",2013-11-08,0,35,6,6,29,1,"44",NA,1,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",1,"10060","10200","H","L","",2013-08-30,0,7,14,5,-7,0,"34",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",2,"10060","10132","A","L","",2013-09-06,0,14,15,5,-1,0,"35",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",3,"10060","10119","A","W","",2013-09-13,0,40,7,5,33,1,"36",NA,0,0,"",1,"5",NA,NA,NA,NA,NA
"2013",4,"10060","1306","H","W","",2013-09-20,0,48,14,5,34,1,"37",NA,0,0,"21",0,NA,NA,NA,NA,NA,NA
"2013",5,"10060","10129","A","L","",2013-09-28,0,20,27,5,-7,0,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",6,"10060","1063","H","W","",2013-10-04,0,32,8,5,24,1,"39",NA,0,0,"21",0,NA,NA,NA,NA,NA,NA
"2013",7,"10060","10128","H","W","",2013-10-11,0,39,6,5,33,1,"40",NA,0,0,"0",1,"4",NA,NA,NA,NA,NA
"2013",8,"10060","10105","A","L","",2013-10-18,0,9,11,5,-2,0,"41",NA,0,0,"",1,"5",NA,NA,NA,NA,NA
"2013",10,"10060","326","A","W","",2013-11-02,0,24,0,5,24,1,"43",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",11,"10060","10079","H","W*","",2013-11-08,0,54,13,5,41,1,"44",NA,1,0,"0",1,"5",NA,NA,NA,NA,NA
"2013",2,"10078","10033","H","W","",2013-09-06,0,27,16,7,11,1,"35",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",3,"10078","10013","A","W","",2013-09-13,0,24,18,7,6,1,"36",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",4,"10078","10123","H","W","",2013-09-20,0,32,22,7,10,1,"37",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",5,"10078","10003","H","W","",2013-09-27,0,37,16,7,21,1,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",6,"10078","454","A","L","",2013-10-04,0,22,65,7,-43,0,"39",NA,0,0,"23",0,NA,NA,NA,NA,NA,NA
"2013",7,"10078","10055","A","W","",2013-10-11,0,12,7,7,5,1,"40",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",8,"10078","10059","A","L","",2013-10-19,0,16,75,7,-59,0,"41",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",9,"10078","10089","H","W","",2013-10-25,0,41,38,7,3,1,"42",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",10,"10078","10018","A","L","",2013-11-01,0,34,36,7,-2,0,"43",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",11,"10078","10116","A","W*","",2013-11-08,0,46,34,7,12,1,"44",NA,1,0,"",1,"7",NA,NA,NA,NA,NA
"2013",1,"10079","519","H","L","",2013-08-30,0,21,33,5,-12,0,"34",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",2,"10079","176","A","L","",2013-09-06,0,7,30,5,-23,0,"35",NA,0,0,"11",0,NA,NA,NA,NA,NA,NA
"2013",3,"10079","751","A","L","",2013-09-13,0,14,35,5,-21,0,"36",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",4,"10079","10052","H","L","",2013-09-20,0,0,36,5,-36,0,"37",NA,0,0,"0",1,"3",NA,NA,NA,NA,NA
"2013",5,"10079","326","A","L","",2013-09-28,0,0,48,5,-48,0,"38",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",6,"10079","10128","H","L","",2013-10-04,0,23,27,5,-4,0,"39",NA,0,0,"0",1,"4",NA,NA,NA,NA,NA
"2013",7,"10079","10132","H","L","",2013-10-11,0,25,55,5,-30,0,"40",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",8,"10079","500","H","L","",2013-10-18,0,0,27,5,-27,0,"41",NA,0,0,"11",0,NA,NA,NA,NA,NA,NA
"2013",10,"10079","10093","H","L","",2013-11-02,0,0,50,5,-50,0,"43",NA,0,0,"",1,"5",NA,NA,NA,NA,NA
"2013",11,"10079","10060","A","L*","",2013-11-08,0,13,54,5,-41,0,"44",NA,1,0,"0",1,"5",NA,NA,NA,NA,NA
"2013",1,"10082","10018","H","L","",2013-08-30,0,6,41,7,-35,0,"34",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",2,"10082","10124","A","L","",2013-09-06,0,14,41,7,-27,0,"35",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",3,"10082","172","H","L","",2013-09-13,0,14,36,7,-22,0,"36",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",4,"10082","10032","H","W","",2013-09-20,0,18,15,7,3,1,"37",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",5,"10082","10045","H","W","",2013-09-27,0,67,6,7,61,1,"38",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",6,"10082","10013","A","L","",2013-10-04,0,19,20,7,-1,0,"39",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",7,"10082","418","A","W","",2013-10-12,0,27,0,7,27,1,"40",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",8,"10082","10003","A","L","",2013-10-18,0,6,48,7,-42,0,"41",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",10,"10082","10111","A","W","",2013-11-01,0,26,25,7,1,1,"43",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",11,"10082","10123","H","W*","",2013-11-08,0,24,20,7,4,1,"44",NA,1,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",1,"10083","1618","H","W","",2013-08-31,0,51,40,1,11,1,"34",NA,0,0,"13",0,NA,NA,NA,NA,NA,NA
"2013",3,"10083","10011","A","L","",2013-09-13,0,7,40,1,-33,0,"36",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",4,"10083","10014","H","L","",2013-09-20,0,20,55,1,-35,0,"37",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",5,"10083","956","H","W","",2013-09-27,0,35,10,1,25,1,"38",NA,0,0,"9",0,NA,NA,NA,NA,NA,NA
"2013",6,"10083","10110","A","L","",2013-10-04,0,19,21,1,-2,0,"39",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",7,"10083","10135","A","L","",2013-10-11,0,26,27,1,-1,0,"40",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",8,"10083","10046","H","L","",2013-10-18,0,14,55,1,-41,0,"41",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",9,"10083","10030","H","L","",2013-10-25,0,17,54,1,-37,0,"42",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",10,"10083","10100","A","W","",2013-11-01,0,25,7,1,18,1,"43",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",11,"10083","10085","A","W*","",2013-11-08,0,35,26,1,9,1,"44",NA,1,0,"0",1,"1",NA,NA,NA,NA,NA
"2013",1,"10085","10098","A","W","",2013-08-30,0,47,35,1,12,1,"34",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
"2013",2,"10085","10200","H","L","",2013-09-06,0,14,33,1,-19,0,"35",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",3,"10085","10071","H","L","",2013-09-13,0,0,59,1,-59,0,"36",NA,0,0,"",1,"1",NA,NA,NA,NA,NA
