OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
252,67728,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,6 miles southwest of downtown Columbus,,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
256,3749,Brookfield Local,Open,1002,53.40%,282,116,8.40%,53.30%,,11 miles northeast of downtown Youngstown,,3905012," $41,929 ",4187,51.6%,0.0%,48.4%
258,NA,Columbus City School District,Closed 2014,50304,51.40%,13226,5604,77.00%,100.00%,,7 miles north of downtown Columbus,,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
260,3780,Brooklyn City,Open,1331,50.00%,447,170,42.80%,56.60%,,8 miles southwest of downtown Cleveland,,3904365," $45,102 ",5506,100.0%,0.0%,0.0%
262,3830,Sheffield-Sheffield Lake City,Open,1704,53.20%,486,199,18.20%,41.10%,,23 miles west of downtown Cleveland,,3904476," $60,208 ",5764,100.0%,0.0%,0.0%
264,3863,Brookville Local,Open,1502,51.00%,431,180,4.40%,24.20%,,14 miles west of downtown Dayton,,3904867," $49,644 ",4257,69.5%,0.0%,30.5%
268,3970,Brunswick City,Open,6991,50.40%,2208,855,9.20%,20.50%,,20 miles northwest of downtown Akron,@BlueDevilFB2017,3904366," $67,064 ",18082,97.8%,0.0%,2.2%
270,3996,South Euclid-Lyndhurst City,Open,3395,51.70%,1129,439,82.10%,47.10%,,11 miles east of downtown Cleveland,,3904479," $62,368 ",15964,100.0%,0.0%,0.0%
272,4028,Bryan City,Open,1966,50.60%,554,224,11.50%,39.70%,,56 miles west of downtown Toledo,,3904367," $40,459 ",6066,0.0%,76.3%,23.7%
274,4077,Akron City,Open,21367,51.10%,6531,2447,66.70%,100.00%,,4 miles west of downtown Akron,,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
276,4127,Buckeye Local,Open,1740,50.70%,479,193,13.60%,56.10%,,24 miles west of downtown Akron,@BuckeyeBucks15,3904585," $48,295 ",5508,0.0%,61.4%,38.6%
278,4085,Buckeye Central Local,Open,624,51.00%,163,64,7.50%,39.40%,,62 miles southeast of downtown Toledo,,3904650," $50,528 ",2260,0.0%,0.0%,100.0%
282,111138,Buckeye Local,Open,1740,50.70%,479,193,13.60%,56.10%,,55 miles southeast of downtown Canton,,3904585," $48,295 ",5508,0.0%,61.4%,38.6%
284,42564,East Guernsey Local,Open,1007,51.90%,273,108,3.10%,46.40%,,54 miles south of downtown Canton,@BTgridiron,3906968," $53,247 ",3650,0.0%,0.0%,100.0%
