OHSAA.ID,2018_Full,2017_Full,2016_Full,2015_Full,2014_Full,2013_Full,2012_Full,2011_Full,2010_Full,2009_Full,2008_Full,2007_Full,2018_Main,2017_Main,2016_Main,2015_Main,2014_Main,2013_Main,2012_Main,2011_Main,2010_Main,2009_Main,2008_Main,2007_Main
794,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK
1090,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
1150,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK
1584,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK
180,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE
385,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - LAKE,LKE ERIE - LAKE,LKE ERIE - LAKE,LKE ERIE - LAKE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE
894,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - ERIE,UNKWN,UNKWN,UNKWN,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,UNKWN,UNKWN,UNKWN
944,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - ERIE,LKE ERIE - LAKE,LKE ERIE - LAKE,LKE ERIE - LAKE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE
1410,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE
1620,LKE ERIE,LKE ERIE,LKE ERIE,IND,IND,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE - ERIE,LKE ERIE,LKE ERIE,LKE ERIE,IND,IND,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE,LKE ERIE
