"","Season","Week",""
"752",2017,1,0.23
"796",2017,1,0.74
"806",2017,1,0.04
"892",2017,1,0
"988",2017,1,0
"1002",2017,1,0.04
"1148",2017,1,0.01
"1168",2017,1,0.03
"1176",2017,1,0.16
"1190",2017,1,0.04
"1322",2017,1,0.08
"1414",2017,1,0.08
"1421",2017,1,0.01
"1518",2017,1,0.31
"1524",2017,1,0.03
"1578",2017,1,0.08
"1590",2017,1,0.75
"1626",2017,1,0.08
"1636",2017,1,0.26
"1744",2017,1,0.55
"170",2017,1,0
"202",2017,1,0.01
"226",2017,1,0.22
"282",2017,1,0.01
"340",2017,1,0.31
"354",2017,1,0.03
"366",2017,1,0.1
"436",2017,1,0.29
"440",2017,1,0.52
"519",2017,1,0.23
"560",2017,1,0.17
"630",2017,1,0.45
"642",2017,1,0.03
"662",2017,1,0.89
"818",2017,1,0.39
"936",2017,1,0.17
"1112",2017,1,0
"1170",2017,1,0.12
"1210",2017,1,0.05
"1364",2017,1,0.45
"1396",2017,1,0.42
"1460",2017,1,0.71
"1548",2017,1,0.15
"1558",2017,1,0
"1560",2017,1,0.13
"1706",2017,1,0.03
"134",2017,1,0.05
"290",2017,1,0
"426",2017,1,0.33
"508",2017,1,0.85
"518",2017,1,0.27
"534",2017,1,0.1
"606",2017,1,0.01
"614",2017,1,0.05
"636",2017,1,0.07
"746",2017,1,0.03
"754",2017,1,0.63
"820",2017,1,0
"864",2017,1,0.11
"1072",2017,1,0.01
"1156",2017,1,0.12
"1172",2017,1,0.32
"1184",2017,1,0.05
"1212",2017,1,0.06
"1214",2017,1,0.44
"1236",2017,1,0
"1260",2017,1,0.1
"1300",2017,1,0.06
"1332",2017,1,0.03
"1506",2017,1,0.64
"1592",2017,1,0.19
"1710",2017,1,0.1
"108",2017,1,0
"182",2017,1,0.11
"220",2017,1,0.56
"362",2017,1,0.11
"410",2017,1,0.07
"556",2017,1,0.04
"706",2017,1,0.29
"760",2017,1,0.76
"794",2017,1,0.62
"816",2017,1,0.18
"866",2017,1,0.12
"968",2017,1,0.38
"1048",2017,1,0
"1150",2017,1,0.01
"1166",2017,1,0.02
"1186",2017,1,0.56
"1256",2017,1,0.16
"1268",2017,1,0.09
"1270",2017,1,0.02
"1318",2017,1,0.01
"1458",2017,1,0
"1566",2017,1,0.05
"1652",2017,1,0.18
"1690",2017,1,0
"1696",2017,1,0.75
"1740",2017,1,0.01
"120",2017,1,0.06
"208",2017,1,0.19
"228",2017,1,0.47
"264",2017,1,0.02
"318",2017,1,0.22
"369",2017,1,0.83
"382",2017,1,0.02
"490",2017,1,0.17
"588",2017,1,0
"672",2017,1,0.79
"676",2017,1,0.02
"920",2017,1,0.06
"924",2017,1,0.56
"928",2017,1,0.1
"954",2017,1,0.17
"1018",2017,1,0.2
"1042",2017,1,0.22
"1134",2017,1,0.03
"1272",2017,1,0.04
"1276",2017,1,0.21
"1284",2017,1,0.08
"1504",2017,1,0.03
"1600",2017,1,0.01
"1644",2017,1,0.03
"1682",2017,1,0.23
"1956",2017,1,0.23
"256",2017,1,0.15
"260",2017,1,0
"308",2017,1,0.01
"404",2017,1,0.65
"408",2017,1,0.35
"504",2017,1,0.15
"750",2017,1,0.06
"812",2017,1,0.58
"860",2017,1,0.17
"912",2017,1,0.23
"992",2017,1,0.3
"1010",2017,1,0.04
"1044",2017,1,0.03
"1058",2017,1,0.01
"1174",2017,1,0.17
"1192",2017,1,0.11
"1280",2017,1,0
"1328",2017,1,0.11
"1426",2017,1,0.17
"1456",2017,1,0
"1478",2017,1,0.36
"1542",2017,1,0.01
"1570",2017,1,0
"1630",2017,1,0.01
"1640",2017,1,0.04
"1650",2017,1,0.06
"1668",2017,1,0.49
"100",2017,1,0.17
"312",2017,1,0.02
"316",2017,1,0.08
"400",2017,1,0.22
"412",2017,1,0.03
"434",2017,1,0.18
"466",2017,1,0.06
"530",2017,1,0
"542",2017,1,0
"572",2017,1,0.03
"640",2017,1,0.2
"708",2017,1,0.18
"720",2017,1,0.3
"834",2017,1,0.02
"862",2017,1,0.4
"900",2017,1,0.02
"946",2017,1,0.22
"950",2017,1,0.43
"1066",2017,1,0.18
"1102",2017,1,0.02
"1216",2017,1,0.25
"1234",2017,1,0.19
"1308",2017,1,0
"1400",2017,1,0.17
"1532",2017,1,0.26
"1670",2017,1,0.02
"1722",2017,1,0
"1742",2017,1,0.58
"102",2017,1,0.05
"105",2017,1,0
"162",2017,1,0.33
"194",2017,1,0.06
"250",2017,1,0
"284",2017,1,0.39
"326",2017,1,0.67
"334",2017,1,0.12
"442",2017,1,0
"458",2017,1,0.05
"492",2017,1,0.07
"498",2017,1,0.09
"524",2017,1,0.01
"544",2017,1,0.04
"578",2017,1,0.01
"598",2017,1,0.49
"624",2017,1,0.53
"664",2017,1,0.07
"744",2017,1,0.03
"1084",2017,1,0.15
"1090",2017,1,0.25
"1096",2017,1,0
"1144",2017,1,0
"1226",2017,1,0.01
"1406",2017,1,0.59
"1418",2017,1,0.41
"1450",2017,1,0.08
"1586",2017,1,0.05
"110",2017,1,0.02
"130",2017,1,0.1
"206",2017,1,0.04
"236",2017,1,0.02
"368",2017,1,0
"394",2017,1,0.11
"430",2017,1,0.24
"460",2017,1,0.65
"462",2017,1,0
"470",2017,1,0
"576",2017,1,0.1
"604",2017,1,0.44
"772",2017,1,0.14
"874",2017,1,0.56
"958",2017,1,0.17
"1004",2017,1,0.61
"1082",2017,1,0
"1136",2017,1,0.06
"1230",2017,1,0
"1340",2017,1,0.08
"1352",2017,1,0.26
"1468",2017,1,0.09
"1553",2017,1,0.95
"1562",2017,1,0.08
"1564",2017,1,0
"1688",2017,1,0.15
"1712",2017,1,0.15
"9057",2017,1,0.01
"348",2017,1,0.02
"418",2017,1,0.2
"446",2017,1,0.35
"450",2017,1,0.16
"456",2017,1,0.35
"488",2017,1,0.13
"566",2017,1,0
"768",2017,1,0
"786",2017,1,0.42
"850",2017,1,0
"906",2017,1,0
"934",2017,1,0.18
"974",2017,1,0.04
"996",2017,1,0.01
"1094",2017,1,0.01
"1294",2017,1,0
"1304",2017,1,0.01
