X,nonOH_div,ST,School,Best.Name,Helm
2014_10762,1,KY,Trinity (Louisville),Louisville Trinity,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Trinity-2016_L.png"
2014_10737,2,KY,Scott (Covington),Covington Scott,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Scott-2016.png"
2014_10060,5,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2014_10516,6,KY,Beechwood,Beechwood,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Beechwood-2016.png"
2014_1027,0,OH,Middletown Christian Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2014_10570,7,KY,Dayton,Dayton,
2014_10605,2,KY,Grant County,Grant County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GrantCounty-2016_L.png"
2014_9007,7,OH,Horizon Science Academy Jaguars,Horizon Science Academy,"https://mediaprocessor.websimages.com/width/181/crop/0,0,181x139/ohiohshelmets.webs.com/HorizonScience-2016_L.png"
2014_9900,7,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2014_16017,1,SC,Goose Creek,Goose Creek,#N/A
2014_25157,3,ON,Holy Trinity Catholic SS,Holy Trinity,
2014_11065,2,MI,Birmingham Brother Rice,Birmingham Brother Rice,
2014_10003,7,WV,Bishop Donahue,Bishop Donahue,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/BishopDonahue-2014_L.png"
2014_10082,7,WV,Paden City,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2014_13266,7,IN,Oldenburg Academy,Oldenburg Academy,
2014_14801,3,MD,Gilman School,Gilman School,#N/A
2014_17508,3,NJ,Saint Joseph Regional,Saint Joseph Regional,#N/A
2014_17509,2,NJ,Bergen Catholic,Bergen Catholic,#N/A
2014_25173,7,ON,Canada Prep Football Academy (via Pinehurst School) Spartans,Canada Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CanadaPrep-2016.png"
2014_14864,7,MD,Eastern Christian Academy,Eastern Christian Academy,#N/A
2014_10200,6,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2014_13195,1,IN,Lawrence Central,Lawrence Central,
2014_12838,1,PA,Saint Joseph's Prep Hawks,Saint Joseph's Prep,
2014_25088,2,ON,Assumption Catholic Lions,Assumption Catholic,
2014_17510,2,NJ,Paramus Catholic,Paramus Catholic,#N/A
2014_12530,1,PA,McDowell,McDowell,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_McDowell-2016.png"
2014_9909,7,OH,New Day Academy Eagles,New Day Academy,
2014_10018,7,WV,Clay-Battelle,Clay-Battelle,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ClayBettele-2015__L.png"
2014_10123,7,WV,Valley (Wetzel),Wetzel Valley,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Valley-2017_L-1.png"
2014_10013,7,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2014_12534,3,PA,East,Erie East,
2014_21282,2,IL,East St Louis Senior Flyers,East St Louis Senior,
2014_13524,5,TN,Brentwood Academy,Brentwood Academy,#N/A
2014_13167,2,IN,Indianapolis Cathedral,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2014_13360,1,IN,Warren Central,Warren Central,
2014_10129,7,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2014_10740,5,KY,Shawnee (Louisville),Louisville Shawnee,
2014_10528,3,KY,Boyd County,Boyd County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BoydCounty-2016.png"
2014_10140,3,WV,Lincoln County Panthers,Lincoln County,
2014_25105,2,ON,Cardinal Newman,Cardinal Newman,
2014_25190,1,ON,Bill Crothers SS Colts,Bill Crothers SS,
2014_10007,3,WV,Brooke,Brooke,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brooke-2015_L.png"
2014_17537,6,NJ,St Joseph,St Joseph,#N/A
2014_12645,2,PA,University Prep (co-op),University Prep,
2014_10130,1,WV,Wheeling Park,Wheeling Park,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingPark-2015__L.png"
2014_10734,1,KY,Ryle (Union),Union Ryle ,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ryle-2017.png"
2014_13197,5,IN,Lawrenceburg,Lawrenceburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lawrenceburg-2016.png"
2014_11344,5,MI,Hillsdale,Hillsdale,
2014_10059,6,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2014_10573,2,KY,Dixie Heights,Dixie Heights,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DixieHeights-2016.png"
2014_12481,7,PA,Farrell,Farrell,
2014_10591,3,KY,Fleming County,Fleming County,
2014_15007,1,NY,Canisius,Canisius,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Canisius-2016.png"
2014_11207,2,MI,Detroit U of D Jesuit,Detroit U of D Jesuit,
2014_10083,1,WV,Parkersburg Big Reds,Parkersburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Parkersburg-2016.png"
2014_10085,1,WV,Parkersburg South Patriots,Parkersburg South,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ParkersburgSouth-2015_L.png"
2014_25091,2,ON,St. John's,St. John's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJohnsCollege-2016.png"
2014_25119,2,ON,East Elgin,East Elgin,
2014_25132,3,ON,Oakridge,Oakridge,
2014_11582,1,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2014_13164,4,IN,Indianapolis Bishop Chatard,Indianapolis Bishop Chatard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopChatard-2016.png"
2014_24373,1,MO,Rock Bridge,Rock Bridge,#N/A
2014_9903,0,OH,Landmark Eagles,Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2014_10079,5,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2014_10052,3,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2014_10084,7,WV,Parkersburg Catholic,Parkersburg Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ParkCath-2017_L.png"
2014_11502,7,MI,Muskegon Catholic Central,Muskegon Catholic Central,
2014_13102,4,IN,Fort Wayne Bishop Luers,Fort Wayne Bishop Luers,
2014_10128,4,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2014_13718,3,TN,Memphis University School,Memphis University School,#N/A
2014_12646,3,PA,Imhotep Charter,Imhotep Charter,
2014_21093,1,IL,Glenbard North,Glenbard North,
2014_11701,2,MI,Warren DeLaSalle,Warren DeLaSalle,
2014_10709,3,KY,Pendleton County (Falmouth),Falmouth Pendleton County,
2014_10724,6,KY,Raceland,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2014_25025,2,ON,Lorne Park,Lorne Park,
2014_11144,6,MI,Constantine,Constantine,
2014_14803,4,MD,McDonogh School,McDonogh School,#N/A
2014_31500,4,MS,Rosa Fort Lions,Rosa Fort,#N/A
2014_10623,3,KY,Highlands,Highlands,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Highlands-2016.png"
2014_10637,3,KY,Johnson Central,Johnson Central,
2014_1694,0,OH,West Union Dragons,West Union Dragons,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WestUnion-2014_L.png"
2014_10519,7,KY,Bellevue,Bellevue,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bellevue-2016.png"
2014_10124,7,WV,Van,Van,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Van_2016.png"
2014_13174,2,IN,Jay County,Jay County,
2014_10093,3,WV,Point Pleasant Big Blacks,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2014_10517,4,KY,Belfry,Belfry,
2014_14906,5,DC,Roosevelt Rough Riders,Roosevelt,#N/A
2014_12532,2,PA,Cathedral Prep,Cathedral Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CathedralPrep-2016.png"
2014_13075,2,IN,East Central,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2014_25200,1,ON,Sir John A Macdonald Highlanders,Sir John A Macdonald,
2014_25089,2,ON,Brantford Collegiate Institute,Brantford Collegiate Institute,
2014_10731,4,KY,Russell,Russell,
2014_10506,3,KY,Ashland Blazer,Ashland Blazer,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ashland-2016.png"
2014_12548,4,PA,Sharon,Sharon,
2014_13101,3,IN,Fort Wayne Bishop Dwenger,Fort Wayne Bishop Dwenger,
2014_10583,7,KY,Eminence,Eminence,
2014_25144,1,ON,Pickering,Pickering,
2014_10588,7,KY,Fairview (Ashland),Ashland Fairview,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Fairview-2016.png"
2014_10132,6,WV,Williamstown,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2014_11595,6,MI,Riverview Gabriel Richard,Riverview Gabriel Richard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GabrielRichard-2016.png"
2015_10573,1,KY,Dixie Heights,Dixie Heights,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DixieHeights-2016.png"
2015_10040,7,WV,Hannan,Hannan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Hannan-2017_L.png"
2015_10125,7,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2015_13352,6,IN,Union City Community,Union City Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_UnionCity-2016.png"
2015_13167,2,IN,Indianapolis Cathedral,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2015_17504,1,NJ,Don Bosco Prep,Don Bosco Prep,#N/A
2015_25173,7,ON,Canada Prep Spartans,Canada Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CanadaPrep-2016.png"
2015_10200,6,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2015_10524,6,KY,Bishop Brossart,Bishop Brossart,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopBrossart-2016.png"
2015_10060,5,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2015_10570,7,KY,Dayton,Dayton,
