X,nonOH_div,ST,School,Best.Name,Helm
2013_11757,NA,MI,Downriver Wolfpack (Club),Downriver Wolfpack,
2016_11466,NA,MI,Mayville,Mayville,
2018_10738,NA,KY,Scott County,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
2018_10200,NA,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2018_25025,NA,ON,Lorne Park,Lorne Park,
2018_25238,NA,ON,West Toronto Prep (via Silverthorn CI),West Toronto Prep,
2018_25121,NA,ON,London South Lions,London South,
2018_10519,NA,KY,Bellevue,Bellevue,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bellevue-2016.png"
2018_12532,NA,PA,Cathedral Prep,Cathedral Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CathedralPrep-2016.png"
2018_10060,NA,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2018_10085,NA,WV,Parkersburg South Patriots,Parkersburg South,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ParkersburgSouth-2015_L.png"
2018_10125,NA,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2018_25237,NA,ON,Football North (via St Joseph),St Joseph,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJosephs-2016.png"
2018_10093,NA,WV,Point Pleasant Big Blacks,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2018_12564,NA,PA,Cambridge Springs,Cambridge Springs,
2018_10045,NA,WV,Hundred,Hundred,"https://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Hundred-2017_L.png"
2018_10078,NA,WV,Notre Dame,Notre Dame,
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_14909,NA,DC,Howard D. Woodson Warriors,Howard D. Woodson,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Woodson-2016.png"
2018_13389,NA,IN,Indianapolis Washington,Indianapolis Washington,
2018_25132,NA,ON,Oakridge,Oakridge,
2018_11582,NA,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2018_12565,NA,PA,Lakeview Sailors,Lakeview,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lakeview(PA)-2016.png"
2018_9916,NA,OH,KIPP Columbus,KIPP Columbus,
2018_25228,NA,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2018_9915,NA,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2018_10099,NA,WV,Ritchie County Rebels,Ritchie County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RitchieCounty-2017_L.png"
2018_25227,NA,ON,Royal Imperial Collegiate Knights,Royal Imperial Collegiate,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoyalImperialCollegiate-2016.png"
2018_9913,NA,OH,West Union (club) Dragons,West Union Dragons,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WestUnion-2014_L.png"
